,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id
0,AFK72EYIP26BDSQ2DQ5XWHQADSDA,"March 20, 2020",great,amazing,no,0,5.0,https://www.amazon.ca/Bodum-1928-16USW-Chambord-Coffee-Press/dp/B00008XEWG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:38:27.297155,2020-09-29 21:38:38.430320,jb,Clothing & Accessories,B002G9UDYG
1,AFK72EYIP26BDSQ2DQ5XWHQADSDA,"February 25, 2020",Three months after purchase,"I’ve had this headset for nearly three months.

Pros:sound is excellent
It is comfortable after long periods of gaming.

Cons: it is not as durable as it should be. The cord eventually frayed and the sounds became crackly from regular use. I am not rough on my equipment. MPOW customer service was excellent and agreed to send me a replacement after three months.",yes,One,3.0,https://www.amazon.ca/Mpow-Lightweight-Headphones-Surround-Cancelling/dp/B07X485BS8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:38:45.532514,2020-09-29 21:38:53.791425,jb,Clothing & Accessories,B002G9UDYG
2,AFK72EYIP26BDSQ2DQ5XWHQADSDA,"February 11, 2019",This shoe is not very good for daily wear.,Comfortable shoe however started to fall apart at the sole after just a few months of regular use,yes,One,1.0,https://www.amazon.ca/Kenneth-Cole-Unlisted-Fashion-Sneaker/dp/B01D1V1ISW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:39:01.884547,2020-09-29 21:39:13.334090,jb,Clothing & Accessories,B002G9UDYG
3,AFK72EYIP26BDSQ2DQ5XWHQADSDA,"November 5, 2018",Gloves,Bit small in the large but does the trick. I think it will be warm.,yes,0,4.0,https://www.amazon.ca/Winter-Gloves-Outdoor-Screen-Leather/dp/B07GRSVG3S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:39:20.463888,2020-09-29 21:39:30.370192,jb,Clothing & Accessories,B002G9UDYG
4,AFK72EYIP26BDSQ2DQ5XWHQADSDA,"November 5, 2018",Not a good boot,Returned item. Very hard to put on and the tongue was very weird. Cheap shoe but not wearable,yes,0,1.0,https://www.amazon.ca/Bruno-URBAN-01-Leather-Oxfords-Desert/dp/B01H7TWDR4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:39:40.458031,2020-09-29 21:39:48.688919,jb,Clothing & Accessories,B002G9UDYG
5,AFK72EYIP26BDSQ2DQ5XWHQADSDA,"November 5, 2018",Winter hat,"Fits well, comfortable. I think it will be warm",yes,One,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:39:58.791296,2020-09-29 21:40:07.049056,jb,Clothing & Accessories,B002G9UDYG
6,AFK72EYIP26BDSQ2DQ5XWHQADSDA,"July 12, 2017",Great deal!,"Arrived on time with fast shipping. The bag itself is super warm. I'm 6,3 and it barely fits for my height but it works and can get around my head, and there is lots of room otherwise. I'm a skinny guy so I wouldn't call it a snug fit. Very soft on the inside.overall I'd say it's a great deal compared to other bags.",yes,4,4.0,https://www.amazon.ca/Sports-Ultralight-Lightweight-Backpacking-Compression/dp/B00Z77AMOA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:40:15.148928,2020-09-29 21:40:24.427997,jb,Clothing & Accessories,B002G9UDYG
7,AFK72EYIP26BDSQ2DQ5XWHQADSDA,"January 27, 2016",Three Stars,Product as described. very very slow shipping.,yes,0,3.0,https://www.amazon.ca/Cable-1080p-Speed-Ethernet-CNE423844/dp/B000O3IGYK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:40:34.524617,2020-09-29 21:40:42.807928,jb,Clothing & Accessories,B002G9UDYG
8,AFK72EYIP26BDSQ2DQ5XWHQADSDA,"June 29, 2015",do not recommend.,the linings of the drawers are very cheaply made and were damaged while inserting to dresser. not impressed. do not recommend.,yes,0,1.0,https://www.amazon.ca/South-Shore-Step-Dresser-Black/dp/B002TSAE5C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:40:52.922141,2020-09-29 21:41:02.185233,jb,Clothing & Accessories,B002G9UDYG
9,AFK72EYIP26BDSQ2DQ5XWHQADSDA,"June 29, 2015",but otherwise nice headboard.,"difficult to put together, but otherwise nice headboard.",yes,0,2.0,https://www.amazon.ca/South-Shore-Furniture-Collection-Headboard/dp/B003FGWY28/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:41:09.295863,2020-09-29 21:41:17.571187,jb,Clothing & Accessories,B002G9UDYG
